ARI,@LAR,@ATL,OAK,@LAC,NO,BYE,@SEA,TB,@MIN,SEA,@KC,SF,LAR,DEN,@CAR,DAL,@SF
ATL,@PIT,ARI,@NO,SF,@CLE,@PHI,CIN,BYE,TB,BAL,@LAR,GB,@TB,@CAR,@SEA,NO,CAR
BAL,@NYJ,@CIN,CLE,@PIT,DEN,@NE,BUF,BYE,MIA,@ATL,@CAR,TB,PIT,@HOU,NO,@CLE,CIN
BUF,MIA,@GB,@NE,NYJ,JAX,BYE,@BAL,@KC,CHI,DET,@CIN,PIT,@MIN,CLE,@MIA,NE,@NYJ
CAR,@NYG,TB,CIN,@NO,CHI,BYE,SF,@LAR,NO,@TB,BAL,@CLE,@SEA,ATL,ARI,@PIT,@ATL
CHI,DET,@DAL,GB,@NYG,@CAR,SEA,WAS,BYE,@BUF,MIN,@MIA,PHI,@DET,NE,@MIN,NYJ,@GB
CIN,@NE,BAL,@CAR,@CLE,TB,BYE,@ATL,MIA,PIT,@IND,BUF,@NYJ,NO,@PIT,CLE,LAC,@BAL
CLE,@TB,KC,@BAL,CIN,ATL,@PIT,@NO,BYE,NE,NYJ,@JAX,CAR,@MIA,@BUF,@CIN,BAL,PIT
DAL,@WAS,CHI,@HOU,BYE,TEN,@MIN,NYG,JAX,@GB,@NYG,DET,NO,@IND,PHI,WAS,@ARI,@PHI
DEN,@JAX,SEA,IND,@TEN,@BAL,NYJ,OAK,@SF,BYE,KC,@LAC,LAR,@KC,@ARI,@OAK,HOU,LAC
DET,@CHI,PHI,@MIN,@GB,LAR,@NYG,BYE,WAS,NYJ,@BUF,@DAL,NE,CHI,GB,@TB,@MIA,MIN
GB,@PHI,BUF,@CHI,DET,@WAS,MIA,MIN,@NYJ,DAL,BYE,@MIN,@ATL,SF,@DET,@NE,NYG,CHI
HOU,IND,@WAS,DAL,@OAK,NYG,KC,BYE,@IND,LAC,@JAX,@NYJ,TEN,@PHI,BAL,@TEN,@DEN,JAX
IND,@HOU,NYG,@DEN,@JAX,KC,@WAS,BYE,HOU,@PHI,CIN,@NE,LAC,DAL,@TEN,JAX,@OAK,TEN
JAX,DEN,@LAC,PHI,IND,@BUF,TEN,@KC,@DAL,BYE,HOU,CLE,@NYG,@TEN,OAK,@IND,WAS,@HOU
KC,LAC,@CLE,SF,BYE,@IND,@HOU,JAX,BUF,@OAK,@DEN,ARI,@SEA,DEN,@LAC,@LAR,TEN,OAK
LAR,ARI,@OAK,WAS,SEA,@DET,LAC,@TB,CAR,BYE,@SF,ATL,@DEN,@ARI,@NO,KC,SF,@SEA
MIA,@BUF,@MIN,NYJ,NE,BYE,@GB,PIT,@CIN,@BAL,TEN,CHI,@OAK,CLE,@NYJ,BUF,DET,@NE
MIN,@NO,MIA,DET,BYE,@NYJ,DAL,@GB,@NE,ARI,@CHI,GB,@WAS,BUF,NYG,CHI,@PHI,@DET
NE,CIN,@NYJ,BUF,@MIA,BYE,BAL,@LAC,MIN,@CLE,@PIT,IND,@DET,NYJ,@CHI,GB,@BUF,MIA
NO,MIN,@SF,ATL,CAR,@ARI,@TB,CLE,PIT,@CAR,BYE,SEA,@DAL,@CIN,LAR,@BAL,@ATL,TB
NYG,CAR,@IND,TEN,CHI,@HOU,DET,@DAL,BYE,@SEA,DAL,@PHI,JAX,WAS,@MIN,PHI,@GB,@WAS
NYJ,BAL,NE,@MIA,@BUF,MIN,@DEN,BYE,GB,@DET,@CLE,HOU,CIN,@NE,MIA,@PIT,@CHI,BUF
OAK,@TEN,LAR,@ARI,HOU,LAC,@SF,@DEN,SEA,KC,BYE,@PIT,MIA,@LAC,@JAX,DEN,IND,@KC
PHI,GB,@DET,@JAX,WAS,@SF,ATL,@TEN,BYE,IND,@WAS,NYG,@CHI,HOU,@DAL,@NYG,MIN,DAL
PIT,ATL,@TEN,@TB,BAL,BYE,CLE,@MIA,@NO,@CIN,NE,OAK,@BUF,@BAL,CIN,NYJ,CAR,@CLE
LAC,@KC,JAX,@SEA,ARI,@OAK,@LAR,NE,TEN,@HOU,BYE,DEN,@IND,OAK,KC,SF,@CIN,@DEN
SF,@SEA,NO,@KC,@ATL,PHI,OAK,@CAR,DEN,BYE,LAR,TB,@ARI,@GB,SEA,@LAC,@LAR,ARI
SEA,SF,@DEN,LAC,@LAR,BYE,@CHI,ARI,@OAK,NYG,@ARI,@NO,KC,CAR,@SF,ATL,@TB,LAR
TB,CLE,@CAR,PIT,BYE,@CIN,NO,LAR,@ARI,@ATL,CAR,@SF,@BAL,ATL,@WAS,DET,SEA,@NO
TEN,OAK,PIT,@NYG,DEN,@DAL,@JAX,PHI,@LAC,BYE,@MIA,WAS,@HOU,JAX,IND,HOU,@KC,@IND
WAS,DAL,HOU,@LAR,@PHI,GB,IND,@CHI,@DET,BYE,PHI,@TEN,MIN,@NYG,TB,@DAL,@JAX,NYG
